Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       27/05/25
Time:       14:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint                                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                              
C101       Capacitor             TopLayer    C0201_H0P3                                     70.2584      27.5895      90       "Capacitor, MLCC, 100nF,10V, X5R, +/-10%, 0201, T=0.3mm"                                                                                 
C100       Capacitor             TopLayer    C0201_H0P3                                     4.1000       16.6730      90       "Capacitor, MLCC, 100nF,10V, X5R, +/-10%, 0201, T=0.3mm"                                                                                 
SB7        SB_ON                 TopLayer    SOLDER-BRIDGE_R0201_0R                         27.3228      10.7018      270      "Solder Bridge ON, 0R, 0201, 1/20W"                                                                                                      
SB6        SB_ON                 TopLayer    SOLDER-BRIDGE_R0201_0R                         27.3287      11.9468      270      "Solder Bridge ON, 0R, 0201, 1/20W"                                                                                                      
TP37       "Test Point"          BottomLayer TP_SMD_1MM                                     33.6200      4.2437       90       "Test Point 1mm"                                                                                                                         
TP36       "Test Point"          BottomLayer TP_SMD_1MM                                     35.5130      7.3478       90       "Test Point 1mm"                                                                                                                         
TP35       "Test Point"          BottomLayer TP_SMD_1MM                                     33.6200      7.3431       90       "Test Point 1mm"                                                                                                                         
TP34       "Test Point"          BottomLayer TP_SMD_1MM                                     35.5126      4.2440       90       "Test Point 1mm"                                                                                                                         
TP23       "Test Point"          TopLayer    TP_SMD_1MM                                     69.0050      13.1500      90       "Test Point 1mm"                                                                                                                         
TP22       "Test Point"          TopLayer    TP_SMD_1MM                                     69.0052      11.1519      90       "Test Point 1mm"                                                                                                                         
SB5        SB_ON                 TopLayer    SOLDER-BRIDGE_R0201_0R                         4.3501       27.6997      180      "Solder Bridge ON, 0R, 0201, 1/20W"                                                                                                      
SB4        SB_ON                 TopLayer    SOLDER-BRIDGE_R0201_0R                         6.3001       27.6997      180      "Solder Bridge ON, 0R, 0201, 1/20W"                                                                                                      
CN7        "Header 3x1"          BottomLayer CON_988-JIUBABA_PHFS25-11-03-G0B115-T-1        5.1619       25.8582      0        "Header, 3x1, 2.54mm, VR, TH, T=6mm/3mm"                                                                                                 
R12        Resistor              TopLayer    R0402                                          1.4501       17.8285      180      "Resistor, 1K, 0402, +/-1%,1/16W"                                                                                                        
R15        Resistor              TopLayer    R0402                                          1.7785       20.3499      90       "Resistor, 1K, 0402, +/-1%,1/16W"                                                                                                        
C74        Capacitor             TopLayer    C0201_H0P3                                     1.5245       16.8785      180      "Capacitor, MLCC, 100nF,10V, X5R, +/-10%, 0201, T=0.3mm"                                                                                 
C73        Capacitor             TopLayer    C0402                                          1.3500       18.9000      0        "Capacitor, MLCC, 470nF, 25V, X5R, +/-10%, 0402, T=0.5mm"                                                                                
SB2        SB_ON                 TopLayer    SOLDER-BRIDGE_R0201_0R                         68.5501      26.7497      180      "Solder Bridge ON, 0R, 0201, 1/20W"                                                                                                      
SB1        SB_ON                 TopLayer    SOLDER-BRIDGE_R0201_0R                         68.5189      27.5522      180      "Solder Bridge ON, 0R, 0201, 1/20W"                                                                                                      
U4         MP34DT05TR            TopLayer    MIC_HCLGA_3X4X1_4LD                            44.5499      30.8503      270      "MEMS, audio sensor, omnidirectional digital microphone"                                                                                 
U3         MP34DT05TR            TopLayer    MIC_HCLGA_3X4X1_4LD                            60.0503      4.6001       180      "MEMS, audio sensor, omnidirectional digital microphone"                                                                                 
U18        ECMF2-40A100N6        TopLayer    ESD_UQFN-6L_1P45X1P4_P040                      3.0997       14.8499      0        "IC, ESD protection and Common Filter High Speed serial Interfaces, 10.7 GHz"                                                            
R11        Resistor              TopLayer    R0402                                          82.7998      13.2499      90       "Resistor, 49R9, 0402, +/-1%, 1/16W"                                                                                                     
U8         TS4990IQT             TopLayer    SON50P300X300X100-9N-D                         30.5003      11.5001      270      "Audio Amplifiers 1.2W audio pow. amp."                                                                                                  
R43        Resistor              TopLayer    R0402                                          30.8631      14.2727      180      "Resistor, 120K, 0402, +/-0.1%, 1/16W, +/-25ppm/°C"                                                                                      
R42        Resistor              TopLayer    R0402                                          30.9271      16.5627      45       "Resistor, 51K, 0402, +/-1%, 1/16W"                                                                                                      
R41        Resistor              TopLayer    R0402                                          31.7959      15.8246      45       "Resistor, 51K, 0402, +/-1%, 1/16W"                                                                                                      
R40        Resistor              TopLayer    R0402                                          28.3497      9.6499       90       "Resistor, 120K, 0402, +/-0.1%, 1/16W, +/-25ppm/°C"                                                                                      
L12        Inductor              TopLayer    IND_0603_H0P8                                  31.8003      7.6001       270      "Ferrite bead, 600R @ 100MHz, +/-25%, 1300mA, 150mR, 0603, T=0.95mm"                                                                     
L11        Inductor              TopLayer    IND_0603_H0P8                                  28.8004      7.6001       270      "Ferrite bead, 600R @ 100MHz, +/-25%, 1300mA, 150mR, 0603, T=0.95mm"                                                                     
CN4        "Header 2x1"          BottomLayer CON_SAMTEC_TSW-102-07-G-S                      28.8501      4.3503       180      "Header, 2x1, 2.54mm, VR, TH, T=5.84mm/2.54mm"                                                                                           
C99        Capacitor             TopLayer    C0402                                          32.5231      14.1868      180      "Capacitor, MLCC, 1uF, 10V, X5R, +/-10%, 0402, T=0.5mm"                                                                                  
C98        Capacitor             TopLayer    C0402                                          30.3999      5.8003       0        "Capacitor, MLCC, 330pF, 50V, NPO, +/-5%, 0402, T=0.5mm"                                                                                 
C97        Capacitor             TopLayer    C0402                                          32.2729      17.9373      45       "Capacitor, MLCC, 470nF, 25V, X5R, +/-10%, 0402, T=0.5mm"                                                                                
C67        Capacitor             TopLayer    C0402                                          27.9999      5.8003       0        "Capacitor, MLCC, 330pF, 50V, NPO, +/-5%, 0402, T=0.5mm"                                                                                 
C58        Capacitor             TopLayer    C0201_H0P3                                     30.3999      8.9503       0        "Capacitor, MLCC, 100nF,10V, X5R, +/-10%, 0201, T=0.3mm"                                                                                 
C55        Capacitor             TopLayer    C0402                                          33.1499      17.1503      45       "Capacitor, MLCC, 470nF, 25V, X5R, +/-10%, 0402, T=0.5mm"                                                                                
C53        Capacitor             TopLayer    C0402                                          38.6293      19.1228      0        "Capacitor, MLCC, 1uF, 10V, X5R, +/-10%, 0402, T=0.5mm"                                                                                  
L5         Inductor              TopLayer    IND_2520_TOKO_DFE252012P                       62.5503      11.6501      180      "Inductor, 2.2uH, +/-20%, 2,2A, 84mR, 1008, T=1.2mm"                                                                                     
C47        Capacitor             TopLayer    C0402                                          64.1219      13.9375      0        "Capacitor, MLCC, 4.7uF, 6V3, X5R, +/-20%, 0402, T=0.5mm"                                                                                
C46        Capacitor             TopLayer    C0201_H0P3                                     48.4003      24.6501      270      "Capacitor, MLCC, 100nF,10V, X5R, +/-10%, 0201, T=0.3mm"                                                                                 
C45        Capacitor             TopLayer    C0402                                          47.8999      23.5503      0        "Capacitor, MLCC, 4.7uF, 6V3, X5R, +/-20%, 0402, T=0.5mm"                                                                                
C44        Capacitor             TopLayer    C0402                                          68.2997      29.4999      90       "Capacitor, MLCC, 4.7uF, 6V3, X5R, +/-20%, 0402, T=0.5mm"                                                                                
C43        Capacitor             TopLayer    C0201_H0P3                                     67.3997      29.3499      90       "Capacitor, MLCC, 100nF,10V, X5R, +/-10%, 0201, T=0.3mm"                                                                                 
C39        Capacitor             TopLayer    C0402                                          53.5497      33.3499      90       "Capacitor, MLCC, 4.7uF, 6V3, X5R, +/-20%, 0402, T=0.5mm"                                                                                
U17        STM32H563VIT3Q        TopLayer    QFP50P1600X1600X160-100N                       58.0999      23.4003      0        "ARM Microcontrollers - MCU Arm Cortex-M33 32-bit 250 MHz 2 Mbytes Flash 640KB RAM I3C, DCMI, Ethernet, SMPS"                            
U7         STC3115AIQT           TopLayer    ICC_DFN10_3X2_P050                             4.2923       19.3497      90       "IC, Gas gauge IC with alarm output for handheld applications"                                                                           
C37        Capacitor             TopLayer    C0402                                          30.3384      8.0745       0        "Capacitor, MLCC, 10uF, 6.3V, X5R, +/-20%, 0402, T=0.5mm"                                                                                
R6         Resistor              TopLayer    R0402                                          39.7497      16.3999      135      "Resistor, 51K, 0402, +/-1%, 1/16W"                                                                                                      
R8         Resistor              TopLayer    R0402                                          41.4501      15.0997      180      "Resistor, 120K, 0402, +/-0.1%, 1/16W, +/-25ppm/°C"                                                                                      
R7         Resistor              TopLayer    R0402                                          38.9497      15.6999      135      "Resistor, 51K, 0402, +/-1%, 1/16W"                                                                                                      
R39        Resistor              TopLayer    R0402                                          39.2498      9.6999       90       "Resistor, 120K, 0402, +/-0.1%, 1/16W, +/-25ppm/°C"                                                                                      
C38        Capacitor             TopLayer    C0402                                          43.2501      15.0997      180      "Capacitor, MLCC, 1uF, 10V, X5R, +/-10%, 0402, T=0.5mm"                                                                                  
C42        Capacitor             TopLayer    C0402                                          33.6997      12.9499      90       "Capacitor, MLCC, 10uF, 6.3V, X5R, +/-20%, 0402, T=0.5mm"                                                                                
C41        Capacitor             TopLayer    C0402                                          41.4317      7.9112       0        "Capacitor, MLCC, 10uF, 6.3V, X5R, +/-20%, 0402, T=0.5mm"                                                                                
